summonerId,puuid
ydx1w6dyJYfSR7bblKySX8ZbZG9KTfRPbijFgth82MqbN8E,ygIAH3E_VmFbUPcESGKY82wxvUhgwO5ddzZCl5G5By_XF3D2_-zWu-gAF--79LLdvoefDvGl2jvAFw
ne5IjsVxP7QcbLgeKQd3iTESQC6tjaOIPEqvsGtZEwfVXDRrJECxUjjjbQ,-fgt8OyswMcZugfQ4mVElBCTwtI1tFIZn12JCjC1IogKVj6CYdm10hMsd2bOZl3HS1froDpAiD6Kog
r62FiWIX3aFoh-xw60LwYnWLLk-c1bAOhX2Frn_w2OsO6Wk,s2v7cbhLBzpJcYwd0sBlBvxQSSpodDvBMpgma9tmO4YqMOPPnB_zDPWIVTi27nOvB5v0cbH9a-6wuw
b3Sp0BJt-HeEzW-47L6IOw2O4x5gwIdTaPFTBdOgovnWb8I,KayKeYY7Wmqh8Om5Nue1m17gyKHSrolmwgS0-lGiKZU96d-ub6sFLrrvxocvu7TYi54bKdkYRvQvwQ
XaHGR4YPSu2kJu0Vu4jxqXYO1hBY8hogXSvD1t1_1rkdN40,9P8CqVilBIg5TqFldr6a3G1I9siJaxu4whjI8s3Tc5pktgICHDGidSX988DWLPHzZP9fqGxzpFB9ZA
B5QiCKg96C_u3f7T4QRyOseHtFd0XhqPsSOAr95B8denIUpuupo1dK1aVw,1v6QFEsntMIM0ZipJsh7tiFSgvViTkQCBHybyqRQC0DT9fkMmd4LX65Fl4-PrKhy4B6MAAQCMxob3A
cJXb9cV5FA6b2EbJFJ4X-H8Corrg-vjwNDkxqZRzjqI81bY,jk_tR0LF42PEjGxoXK5tr_1qvSYU8ugAk6qRx85ksG8YDlyYm7FhPSXJ6FU7e25OVO4Zop1a4zciRw
j5uQvPrEzxKCUBs9STRgEOBmyt0T9qqREymOG7JKhUHu8oVQ8xNwoeKTnw,z1sf10MMQ73tSNNq2tmHm1Moe4BaIgK02hd5q2R8eLjtH6yyLsbgHGouS6J3JJT3cINRQ1prbxQMAg
v6IH8wzAblQrfOW67gkBMnXw1Xdx-A_XNdp3vMnrf8zP-Ig,c9f5I0NQJB9yM8Dyiek20UnXcQK0eiIZ3r4Kq4hj9LO97q_Y7x5V_5lBceSK86-DtL0Yz17TIB5fPg
3jhI5leqjOrmecz6Yr_f6jZTpBZBq94zOaTTnZqYsXW8Nrw,GifA7GaxMHWDV97D6V9-X9fcQM3oAWVwwKfg5B81Ppbukj_EQY9C7OHgXR5Q9unN8S5JIOyeB1Qayw
cULnqXIEu_C7yEq1OtDa0Kl0hoRXL6gFHwKUNYG5jplTlx4,OqjUNwhE2m80od_FJ-1BM8cmsqkNg5gpQBpNLf1OHg2mYvcpT9GTEce92uy_HcZzi3LxtrbHqyGI-w
oWkOVNI5BrZcceaBri-irzUgowqpGewHMZKw3UtU_oh-uvE,R2Wl0xqji_iKFYCGqGcnQxQufGxjqtUA2psMd19KgBU0_15GjAsUBi_Z9RJX5eFm5iOO_t8H6etu1A
ifsFdZidEtXhylm8X-kUQv0tfxaEwQ6eDw3-tht3LNhmqeE,mhwYaAdR5mO0iwJJ1sFvJRn5Sm4ufdXGrfmq-cbXT9g1otydhS1vkySGL3FLvYnTpEBhhW-RM5mKQg
0JqvxpwbS-jitzxSuI4Q51XrPeRrwxFObc3KjL8RMOtxKcCKFEz5my1G5Q,MGq5IizMs876QXevemIpTePhPufZEmIlZGTFIuI8VDX_YwJPXiFzQjtfLwHBmdNSlrsuaN2QFJPWiw
lCcsQr64C_LMgvYtq_SOI4LiqXOf7o3xo6YzH6OgU-cDgEI,wVsZX7oV8hTU0PTcUUIvQ0gEl4owCgsJVVsnlZB5uCBpU_Q3GiY3WrUvG-fbg57gy_-bUBGUQtvT9g
_AfwDbzOcHY2YhGrMTHjfWhYAw5L7bbH9qHFfZ8BQB9C8AI,43FyBOZQ_OL_SoH1XckLZIbTj5lCbMN9KTGMBrQvlSQtvCojkmApwxtcQz940UOyhVghiJVyxM4vwA
75hofJPBoypQ8BmpgOgfyZxIjKPia7Ed4oyAhALLOcM90zIfxTg0pH5V4A,RmjLaQSiwNhyVengtUili8pJyeBvUrR23YaasfEl7WiJLiJbGK98P8t2WF_JWp1u5nGWY676eI6uFA
GXI1ofQhbnqVBtktiLAQAJpQJaoBi7Q3H9nJZ0TXKVHR5uI,XOH22hUhv_Sm2DYL7Vf8h_Vj5-IvICkB6FjnKzLlnxadPRJ_btoSGeXTHesskzuxGaFbNa1YEVHh7A
DEP-3bA-gAaHYBoWoPtsr4ssveBSFdGc8B3OJmkEv_7cenM,
yWVsCQ7PeGHpfJ85gzOElIJR8nMJQuMEgWdlCd2Y_fMB2vM,
pyhXVuizfA6HYXpwCJR25j_ioKuAxu3zqKHlUano0m0zFxBc,
PPYcew4dgJOltm4CWnEO2ihU7CFLwMfe7kLEPNXD_lk_DVo,
A9FKSqPD14ijE86kMRSkLT3I4VU372ik6rr0gsDIhxI18DtQzUdJxmtf5g,
1dmCkt1eBQe11q0dyPH8hDoLEy8yp2QDdGAadjb_R4xfDZw,
ulaoKJxvI7ZvoXTShX6FFazzq5xw8B9rC1ooaJEP7rXuY-8,
9COoD8pEZtsMNf9wRtw0vYijZkDMXVe6B8QVpdVOqwx6z8E,
LNSfp0Ad7JpJYVEsKH8w5dhwexaItgoGMkCvAd1kJQCveHwr7f6ZIDPjmg,
TTEg1330TchYiJuivRwKSvcPWydEyJuRL9Kn3EVjmvXkYuw,
nv9ebHPpVigyDa3_j0ivbipJEJZz0br9CfhgKHowVb6Yvuo,
qSO30YtCVk0pbn11Dsaro-KbOxBpV0DOHD5swZELXiC7dHQ,
FsIKEYQU-hi7fP4ZUxKdbREobzbEAF5j56zP8i4NGlNx_2A,
rNVvnjMcTeFER0-aJDRuQR2x0N-ty2EqHJJ3K_a4R0u2QZA,
5Ed_WXDSuw9ScYuTFbQ6QO0MJ6U1MRXvNbwon14rp0F-0TEA,
oSXWfm1wtlpNzW8qQTvULNFhYXe9AJxNPOn7RgDeQsSYwr0T8X1CYHglUg,
udJvkdJ-pfeJ-v5z8jQWabkeI3VD9RZIUIGEQzMPw_e1uWo,
WyuRJ1ipdSLP-la0T24VKTamH4kXd0r8YmcV5ajEbhWgWnMTiggdC2b55w,
YuhCmNvYQ3ZsSqMc1fSCHbCGIT1wrnnqgtsd28J_HWZUgvA4,
WkzlYbmjOSqXXP6v5c4VtTVndKPNsNmHkp9K2D9ympb8Ess,
Og1l45A9PWY7QqAUoxKj4a6VLt2npnCmQ9qJz4ee4O5s8tLcDHQQD_II2w,
GOHolo_zJvJ0IbA3SyIaHErCpPJFxNbj4iovQuPdEgaS2yIT,
kKdli-CMUl-4JCtIYmbGO5ocMtNQwbMExnr1RFouhY53Wa8,
sJWXdFilE-5bzq-eAWJP8N1KwZDAlX6-0uvQJ5FH-Ra0DI8,
4n3lT_QB09lnFnwCrqQmivzFvEo47lIfgh2t7zD7BsAOt-k,
kkzgTMLVkF2c7ZD5pRK1PHJ26iQ9iAb8AfNw_3iCBLo2tRtr,
R2d9uPnp-AgcRtQeiPeHEKwmmDOjIAfzU0PsWOxekjgXogI,
NJsz3fFCcr4WYPO8RRGer4I7nr0epgu0YEiK5xTEoILHtbPy,
k0azuSetssIoktnd-TRbTKaGcnpdoRIVrOSyrwkfhnOjhpM,
5GcLDueilpj_7OtmDmk2bUToNbV8njSG3Ei5EWjt80Oq4Uo,
50FGCcNvjVjqTo_mYH1LT5Uvs-zJZQMUsnIfqnb4925D88mOTug7rPFQLA,
sZNxP_fLO1e-6kGgWwpj55avoD6qdD6qnPsUiiOdoenNMKqkFz9P_FseBA,
77dZFtiDb_JNI_PdVSvZ-ZB9JWyjxXhBgyu8p4q4Z3SUesBuv-fZ7X6ESQ,
KWKwUy38OwymAUUSjxELVsAyEI0KvZ7WKguj73UaIxkt1H3v,
965fdUzaCqh4esa9x6x-mnSVbOhdtV3s3dyvP93z2372ass,
