,summonerId
199,vfU5MSCflCs8PlLbmmQHh0e-1nih5YfbUcHc_xsznAdHph4
200,BuKP0a54gUbMtl1nrjhMJNgZe6qVQYKR25nw85cz0B6YYvY
201,KrsGml0TytwfiTxJxzNbmffYAmjuoGGzLdWUVC20h1jT_1k
202,Qdy0iZcZvcEIbxaiSOlfl0JBITODcNiHqj0NXDtJon8NWYQ
203,55W3SBpAoEEPIR0HApH_95_O_G62YyZ9PzMC3F4sFQB1K0s
204,xwyllOtRaP4hGL3MwiKHRvq27PNsvMJF13fT4puWWwn_3yHNYCJJ7apreQ
205,eQmsxPYhXdZZlyaJpKgBSMEJtNfw8FqMSo4fF-kfn88rrMF6thpK03L-0A
206,K8ySClAnbB5aPx-miu6NgLwLcBM9EWotj6QYsXFmnFSt5sY
207,XIlzLTYcwIn-7WD6RsTub3hJHa4Qea1q7gfi8dAQ2GDJrVOZ
208,eLilYq3kJ_iHh9JrkMuI7QjzmxguG8zpybK5PSM9wFulVLs
209,AHV8OTqPTHwfPpeGvnqVINijMX_MQirikTLYxq4PvZW_Ot0
210,6Lpq8YgF_jtoNpe2Mp63U9hWpY8gF7JM9C6sx7EIrY68NTN7
211,neMnYfdOiS6xiP_2HvMLlgykNwjKqx3QZBhV3ZuJYelP2AQ
212,RF7JfY_8FJbWweHN_Hp77D8NZN_D9q5oBAHrEH9KmLAfZjk
213,SCiYvDnDP7jZE4Rjb0llNJrCEwXF7WXv5I9fefB2nEUL0wI
214,7pwB7p5ILkfMSfVH4yDzptU4sitZrpPRU45Xu8BAsfYrxFwNrV89L0YtgQ
215,oLz-s7ZWAd9feGNsEOsmq4gDdtatLNKIUKb95eTNeAF_pk3xEsVn3YaVLw
216,P0N5iHR6P0xr_XKmfZBtHXTGV_IZmqiCyw7peokZCPYw4pYa
217,tUrssmSJN9P9WOdzlyxK_AHSFXIGywkbFeii9E8QKfLIzNIh
218,LStAAHiFa-IsMUAxxhf7PQDtI-owaLQzrwULbEiz8lYrBLY1vyInrCoGvw
219,sAUsJkVrlh37ELbjZ1PAlYoaWOz9Rs7BIE7qRIfdE62mocL_MaaV82fFdA
220,nEsX4aeaSWyC2SFSkaQqWyhcVzS5nNlWGdCeP6vaH6ZRTStOF_qFNIIgbA
221,Q2YWnjhzoYHX2otWKot_x-9mjogOnZUJ-6Ms6-SWKHfbPsE
222,5n_qR4vxlyKxOwpUSHg63BplbXnmYxCYJpQ-cqz1q2vl1tg
223,c5J4-G6-jbIf3cqWWrf3Yj_Jc8ychSqaXZeIz1naHpdSgrI
224,2JRGaxXdCxZ8xFgzAQvNqqLOy-JqdwkEQJUnElDA1j_V6uJGLZRI20y1Og
225,M1lC_jDlIWp5TLK_kn4aEd69Qh52gNUqT5ZWRQthsCZDD98
226,yAT0qMbzk1WJg9cDOgfzsiPylaKK3oUxRiFbkgvIIlp-ir4
227,8LDjEbsiHygkmMPSKixsyTWb-lTmBiR2YZq5EKRBE8oqsbzHLak2CUKvYw
228,pRG1rhkhskF9paCALzMTve4pLmjCApgP4kA8wuAf27JLczc
229,Pigbmns5xiggd4kIHMTmLWk7-8MJgpOa-jfAvoKoCVD0nyM9
230,50S56L-X4aoBW5WORomw5a8feCGomKNjjjTFLoLIwTG172LKnGAKn9Z4ow
231,1Q10NxpeCFccAnEo5EsXmYvsM-LVL-IGyZA7YDAhgLZMn4A
232,ygJemUQ5Z0ozWBF-6F7SU77GU7qIKYP5d-ZVEblRVONX6rs
233,yVc6UpTrIJ3xr_m7Qr_m_aLE6MUEWykbunwlPNLGyb3hosQ
234,rx46O8n2gxKzOzx-DposuMZuUA1SeOHhD0HmSp1w3Nh5IkUGglRrvq6m5Q
235,BNorU6tMsVv2BQOV59H0ir6sv9javC0WhMHp5ElbGNtn6xw
236,5L-9MlXRTAVH1sgH-hIiIWZ6-TOmMn1SsavgNvlpntzsezOF
237,QYeKdWKNgLBKBiKsWAGdxiZXlrbiw_q6FhBjB70k5M9ulHM
238,TOopeEVqb14DF3af_LA5-BDpVyTctsnOAs1qQxBrRUG_76I
239,lq3aDjRBvL10OQZix_kApKUVEgHIcd8lqGZQFnzpdUQgInU
240,V61loiY9DLdIqKdb28zkzmhAHC_vKq0AAXbBdcT38hIEuLVt_KfTZsU_9A
241,HCbUcN4fcep3eLGD5XfkelQWOW7M0AG8EvzC7lVkeuUDe6Q
242,L7lMq53Fnzyx76aC86sxeXjkGiSHDCdXWDMz6iufgaWp8qnqFH7W1Rf9tg
243,jkyGmu3lWRQfE9HKKB-fNmZn4Tc1i0E8P1ojBkDIWTAt50w
244,Kzxb-wcg2PwBs-EwQGQvLGLYa1fyiMVmbzL0qHBQ8LJ_Dbc
245,vCSSpa5yUscYrhskZ2n41LhVjfDFkT3wy-6SVpJA68GgQSolCcYCQTsE4g
246,so7xwqJaq6ZaULE3ThncSJA9RKpPYMQtAhhvmzT34S7XvzctCSgu-L2FIw
247,1iHQ2w-B6EMMK_WKafMqv3bQAH0UZ8e6S5QkawVsDWJE4xA
248,tFc2yLezzgj3qGHOM7NYE_q68bAF8G7CoqaauzSwXvv4TwQ
249,YMxHS1BJKTOOW-7V5PpuKvFHECpCDg9r9n0zyNbjwulwTEI
250,-R2XrMhBvFejKZ8fXDk94ucOTSTdQ_eZtgl5J0ksAwQjnxk
251,fbVy6hjOSipPZjVMLR_0so3rnw-5c1pqnb2iqkQ5y8tfATc
252,UA7sze9yzXVO881EkG1-JWz6_NGMKuAzJQC8yZBtZdgSXaE
253,qyw856VSYr2wHAPyzR_uzguczCTBODJzo0Pw6o1nuSCJoHI
254,s-T9si36LMa5PNUuakRnd7T9AQR9Tp5_ut5XqyH7flXGabI
255,LQKHzUXSwUMBwrfDj4FZayvLp8KQOEmftoSTXargMJn4Epw
256,yzvbqMjHE0CYpbC67FyAzpBwb8TpRGxkG2ft6E1RUJvqNBg
257,sojau9wLSwou9rO-eA1HCZNV5uY7zG4x7bmA9HPmqoyRtVna
258,cGU98x8bJsddIISsFyrbp8qN0cjFng93vbk9vru1vIJ7C_cPcbG55nzohQ
259,25teaqXV-A5Ordni8fB9BTgDvzrRrS18Lg2MNFogn_uqUBEZ-UJEhJiz3A
260,cAp2Lpo7zON1pMhMdZcKUET9v2PZCWJD1FOmhUNClSkKek_DE7lo76kpmQ
261,U1sZUKsttEXnYefjzPlbvGqm7og_R9wNzgZ3RqKdtyTbhhw
262,LrsBE_sdISH-O9cEFzSaMcAPeQbolSa8cMHvWs6mN54DQkI
263,NcAM3PFcfmflw8xdAAvYu1-BUTv4-gamM_W3Hc1J2nDpS44
264,VAnP-9I0nPurnNxlu61xGqZtQt0d_jMQoQn2uMlvGgh0v9U
265,-ICoezZTe3wplnLh4qQ46y96vx2nyIDSPjNJRn3jt6tU8e4
266,Q7FqJJSgO0KoO0BvPzL-5hQzV9QVL2EQEb0kw8EOvG_5LPE-5EyhxUoqTw
267,qcrqJQK_H5TK3ZnQsg_G5OxwRccemwsaqS5jSXFJbUzClhHmTg-SMqQ7hg
268,2nXv15ycYrdicEU4UEOPdleFw8gylZDF5252DDh5skZqJvQ
269,7L8y90u4NxWMdh4KadfYCS0dtP_-9IPlOwHNTQmbHlINgQw
270,5vNzNjgOoZzU9IhXEcwxelWZntX2KGusa1CpxfjYzftEPuU
271,wnl_Umzd2k2AJs8qplYL-7cs64LBF2YCpPr117ekqWLSGxjANTD9VyvW7Q
272,QFQqZ4NP7-H8TBe8uf6WEpkO-LQOZdGfK5p59EzXYLX5Asim0ATdp0WCPg
273,8-nsXV60D9RwNuE1-_tj4cRZ0t4B6HeeVn5rBFvPleqwikY
274,nuFlTzM1UNwsbnZEX-t-d2kzmzY4v1ur988Y-cCJ4DtBO2E
275,jroTto5pZX-sf8hW1OAwBN4iG-lipx85FiUGL1vZmea-PAI
