summonerId,puuid
jjG3GcEeGJK3xvPYQFiOFj6_7WacZlV7ldg0md8jxLAfmnc,08nXRwYGR6CXa4jiuGzgl68Ky9Rrannq7xvxkp43tAVHkKPOjjudYLacot0SQhkb0J8eJINCD5cIGQ
alokCXFRKAILcYJZu7PxGt_QAksP21XX7cXFwZvHzRbnsMZL,g0yAgQHVlUd52afL2JnxFVH_SDA65sFWe4S5RkQdcAVc-xVedRJGdMggBbMkXXnGozshHP1SVlM-kw
9Q3r_KopOX-A_fvWZcIaektEgeUpNkeVS-bAGXtFdtI0NFM,hvBFA3lz0Dfr8nIdgPoMWhF93mU8ELdogbaTxIBe9vZ0dkR5RqFYoghg7KTDisyFe9eGkc9oGVL8xg
1smuy6v0kzObfGBsls63Sw_-9sB6ED6bPlwl_BEWlpmTDE8,80KSRuTyXXOahgRJkb-zEWBdqPCe3O45wh5tY5ue28a3lNMUJ7z4qJaMON4TsqN3vc2cytlBtUB5Og
gWKNm5X4bU1AslvspIOuxJyvucnvLywvfm69IcY2jbsckJI,jvZoOVFNaxs1DWvS77tJpTZRtWPFvn685JmjcvIDsaqHoPCuzRqVAVshMHNZc76SePka1zU0i4j00Q
VQUkJFTpkHRPPwrbp86zMK9u8iVWOwsF-iI9lGDltotrYwA,X34WjYtYAoIRuiBjp-hzc4xh0wOL0cnU9PzrQNaTfK2t5rlIEBlbdHkz_eh2ArlfKWFmncJFaRfm_A
wvB-vbN6mXRl1leuaZUKWq8g0s1IKBgCEwC4ct8iV5OJ8Awm,SF5U3eFi--ohSwOTZ435rG8uSoeaJSYWswowxrmTRKQ_z_1R5sDpn-rZzle4UTjD63VQg148c_AgyQ
t8RIq6jjjH18FcOaW-SmbAfb-xWGZ8MjQqD468-_Q4BxIgMT,reMHbsGihhnUGqnpDDd5virQSRkTlUGJWl41wkRyVqRNjib-j7cy7jzV6T_Daw27lXnZhAjw5-57lA
s6zAMPNEi_X35XKLU1TqS6EzTdQ4gDr7xd8UqcAmQJQRhiug,46ZXY9FXOP2n3Sf6Xmp-dDJPurqTfaBNML5xmwm1TIH2E4p1Zmp_QEwu6oQ5MDpuKa7PvV-xcIZ4-A
uRpggf6q936m3VDHrZb8X9e7zu1I_zPUFUg9HaZyy2aGka69WB2PMTIzUw,4II9Qdgyt3eBwgwu4ywWSLR6vD0Z9pxckyB-K1Br3SvMNxYyidTB-G2vGHB5JT9_9McStRQp-fEudA
sMr9fExEeQwrVNDxN4JmzlowsF6i3--KH9IlmGP72DNnE1Y,kGHMYfuVLdBPI2A5_2-c6FOQxyfA7BBQ18bHskNRD9g8DXH9doavq7xPWAzpY8S_SpoZqkoOb9Wt2g
fbN5POjrzIgWOq1RBqtVEFq3fQdwvHL9LMJvQygxKOe3qM2L,-YyYT6mjdhQz4cy3vhDOlTb1H_n9EETPBA7lnSJtgqIXnYKswkI8XL_UodD70KVxqJ6QSVX4qPYYmA
Hsq9T9VMrdAvTrGCW9Rtn3bkukl2-cpSfDQuMsvToHCzyXljitEIMzs-zQ,Yn4XS2i2hc8hgLBSL9kG3VmbfkcIigWXHzBxgS5RhNECeK-GVZzMbpFVI2yMAlJW1qAUgiSpGFHSuw
je37rVBthzm7nxMybyeiuEXyGGLs6x3hjzT6-kkcab_2tPRXTxohTvF0aQ,tTxGxZoXdpSsfzCUWXBY3_PzUGFWmq12AfQeG8xr4GblFDnPHeJpEQqo4VpTUtHfTUIdS6tPAtY82g
csOjfisx_tv5tu8m-Ti212VbbHwivXgJFv3tlRdV-dwu4DgE6xEzZMlNLw,R6FS1eGlbGemERQ6OrP2ZB2I0pqcBRVNAmQbEA0E2u7yXYpiTvAeRmNtzni0KwjwGmueCp7lmmmL7A
_5sZRAy1wdVQDq1t4U8MQ88W41c-sslSl6yORTPsNZ45Fiev,cMfkaEIH_gVk6hS3_gySRndgYsZ_0wTj4B9G1NyjYEBzwvmaeCvGieLI3ab7f6SYbzBqqjBSQeZUJA
JybD5SwfWPTNT66rgyfCf4fts_BRSFUEzfRqEXCFeoULI-iLWkMhTYVoTQ,-7MswUYH-xdsl2cN0z0iEoXtphXesBaByv5Z_OUMmbbAvOAaxI9YhDzl8lYehvSIjIryfcW8wglFmw
QNeLJoj6F4cF6wcHc_tBuzoY-_J36R2R_ZS0yT0P6VPpXsdNgsFH8aocnA,V2dUgPjBrS7hucBSpIqpNp6GIhSG6Ngqb3nEykGBJKraLNXG4v-03KhPZWS5dt3WiUdJjR7fgre02A
ZODV9wUjSwUgypxEnTr3NuoMuG-K5pYO6E2kW4AMee9DH5YCY0N5Gzg2vQ,qHP40MurVIZhmibPCKowra8sFdQh7RSZlKlZcdA8KugldWrsaFWXmDuyDcL5DziY_HJOKIEJgHKTVQ
3vGmEsRJz8SWWJjZ9XM6hdLQ5Z8JkIzAc2z4nTi0_Ctd0bU,eIIcejF6zZJOF4PwOagZKeJCnyUYIoOuGVnLg3RN1cNEFstscdyxNg_X7TzoDw-oHUDmbg2wK9a2DQ
